Humboldt,Morro Bay,Diablo Canyon,Cape Wind,OCS-A0522,OCS-A0521,OCS-A0534,OCS-A0501,OCS-A0500,OCS-A0487,OCS-A0517,OCS-A0512,OCS-A0508,OCS-A0483,OCS-A0490,OCS-A0486,OCS-A0520,OCS-A0498,OCS-A0499,OCS-A0549
,771816,809065,,,,,,,,,,,,,5798592,5837592,,5490400,
,771817,809066,,,,,,,,,,,,,5798593,5837593,,5492167,
,771818,809067,,,,,,,,,,,,,,5837594,,5492168,
,771819,809068,,,,,,,,,,,,,,5837595,,5492169,
,771820,809069,,,,,,,,,,,,,,5837596,,5492170,
,771821,809070,,,,,,,,,,,,,,5837597,,5492171,
,771822,809071,,,,,,,,,,,,,,5837598,,,
,771823,809072,,,,,,,,,,,,,,5837599,,,
,771824,809073,,,,,,,,,,,,,,5837600,,,
,771825,809074,,,,,,,,,,,,,,5839357,,,
,771826,809075,,,,,,,,,,,,,,5839358,,,
,771827,810827,,,,,,,,,,,,,,5839359,,,
,771828,810828,,,,,,,,,,,,,,5839360,,,
,771829,810829,,,,,,,,,,,,,,5839361,,,
,773581,810830,,,,,,,,,,,,,,5839362,,,
,773582,810831,,,,,,,,,,,,,,5839363,,,
,773583,810832,,,,,,,,,,,,,,5839364,,,
,773584,810833,,,,,,,,,,,,,,5839365,,,
,773585,810834,,,,,,,,,,,,,,5839366,,,
,773587,810835,,,,,,,,,,,,,,5839367,,,
,773588,810836,,,,,,,,,,,,,,5839368,,,
